"action","boro","building","camis","critical_flag","cuisine_description","dba","inspection_date","inspection_type","phone","record_date","score","street","violation_code","violation_description","zipcode","grade","grade_date"
"Violations were cited in the following area(s).","MANHATTAN","116",50018300,"Critical","American","CAFE R",2015-02-19,"Pre-permit (Operational) / Initial Inspection","2126959550",2017-10-19 06:00:49,25,"W 32ND ST","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","30",50046914,"Not Critical","Korean","SHANGHAI MONG",2016-10-31,"Pre-permit (Operational) / Compliance Inspection","2126296450",2017-10-19 06:00:49,24,"W 32ND ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","7",50049027,"Not Critical","Ice Cream, Gelato, Yogurt, Ices","PINKBERRY",2016-07-06,"Pre-permit (Operational) / Initial Inspection","2126959631",2017-10-19 06:00:49,14,"W 32ND ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","229",50012006,"Critical","Chinese","GRAND SICHUAN",2016-11-28,"Cycle Inspection / Initial Inspection","2126205200",2017-10-19 06:00:49,37,"9TH AVE","06F","Wiping cloths soiled or not stored in sanitizing solution.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","302",41374594,"Critical","Donuts","DUNKIN' DONUTS, BASKIN ROBBINS, SUBWAY",2015-10-02,"Cycle Inspection / Initial Inspection","2122680686",2017-10-19 06:00:49,10,"5 AVENUE","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10001,"A",2015-10-02
"Violations were cited in the following area(s).","MANHATTAN","1260",41135793,"Critical","American","MARTINIQUE CAFE",2015-12-30,"Cycle Inspection / Re-inspection","2122446523",2017-10-19 06:00:49,12,"BROADWAY","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2015-12-30
"Violations were cited in the following area(s).","MANHATTAN","234",50009386,"Critical","CafÃ©/Coffee/Tea","MADMAN ESPRESSO",2016-08-08,"Cycle Inspection / Initial Inspection","6467081111",2017-10-19 06:00:49,12,"W 35TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2016-08-08
"Violations were cited in the following area(s).","MANHATTAN","304",41392820,"Critical","Sandwiches","QUIZNO'S SUBS",2015-05-15,"Cycle Inspection / Initial Inspection","2127364400",2017-10-19 06:00:49,26,"WEST 34 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","314",41308940,"Critical","Pizza","EMPIRE PIZZA",2015-11-17,"Cycle Inspection / Initial Inspection","2125636081",2017-10-19 06:00:49,9,"5 AVENUE","02B","Hot food item not held at or above 140Âº F.",10001,"A",2015-11-17
"Violations were cited in the following area(s).","MANHATTAN","154",50046619,"Critical","Japanese","A CANAAN SUSHI",2017-04-24,"Cycle Inspection / Initial Inspection","2129479298",2017-10-19 06:00:49,24,"W 29TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","243",41508226,"Not Critical","Donuts","DUNKIN' DONUTS",2015-04-03,"Cycle Inspection / Re-inspection","2123370251",2017-10-19 06:00:49,7,"9 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2015-04-03
"Violations were cited in the following area(s).","MANHATTAN","413",40365882,"Not Critical","Pizza","NEW YORK PIZZA SUPREMA",2015-09-29,"Cycle Inspection / Initial Inspection","2125948939",2017-10-19 06:00:49,20,"8 AVENUE","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","48",50003346,"Critical","Vegetarian","BOMBAY SANDWICH CO",2016-06-21,"Cycle Inspection / Re-inspection","6467819756",2017-10-19 06:00:49,12,"W. 27TH STREET","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",10001,"A",2016-06-21
"Violations were cited in the following area(s).","MANHATTAN","10",41503714,"Not Critical","Korean","MISS KOREA",2017-03-06,"Cycle Inspection / Initial Inspection","2125944963",2017-10-19 06:00:49,10,"WEST   32 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-03-06
"Violations were cited in the following area(s).","MANHATTAN","151",50017041,"Not Critical","Salads","JUST SALAD",2014-12-10,"Pre-permit (Operational) / Initial Inspection","6463551850",2017-10-19 06:00:49,22,"W 34TH ST","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","218",50047580,"Critical","American","ROCK AND REILLYS",2016-05-03,"Pre-permit (Operational) / Initial Inspection","6468502850",2017-10-19 06:00:49,13,"W 35TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2016-05-03
"Violations were cited in the following area(s).","MANHATTAN","407",40959121,"Not Critical","Irish","TEMPEST BAR",2016-03-21,"Cycle Inspection / Initial Inspection","2126431502",2017-10-19 06:00:49,19,"8 AVENUE","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","240",50045238,"Critical","American","ENTREE",2017-07-21,"Cycle Inspection / Initial Inspection","2126956655",2017-10-19 06:00:49,10,"W 35TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","132",50046981,"Critical","Italian","INNSIDE BRASSERIE",2016-07-22,"Cycle Inspection / Initial Inspection","9174095171",2017-10-19 06:00:49,8,"W 27TH ST","06F","Wiping cloths soiled or not stored in sanitizing solution.",10001,"A",2016-07-22
"Violations were cited in the following area(s).","MANHATTAN","370",50037969,"Not Critical","Asian","HOA CAFE",2017-08-28,"Cycle Inspection / Initial Inspection","2126431588",2017-10-19 06:00:49,53,"8TH AVE","10H","Proper sanitization not provided for utensil ware washing operation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","122",41444184,"Critical","American","THE AINSWORTH",2016-11-25,"Cycle Inspection / Initial Inspection","2127410646",2017-10-19 06:00:49,67,"WEST   26 STREET","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","276",50035305,"Critical","American","HOLLAND HOUSE",2016-02-01,"Cycle Inspection / Initial Inspection","2126852727",2017-10-19 06:00:49,11,"5TH AVE","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,"A",2016-02-01
"Violations were cited in the following area(s).","MANHATTAN","838",50005960,"Not Critical","American","SUNSWEET FRESH MARKET",2017-07-21,"Cycle Inspection / Initial Inspection","2125328383",2017-10-19 06:00:49,13,"6TH AVE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-07-21
"Violations were cited in the following area(s).","MANHATTAN","413415",41373304,"Critical","Chinese","MING'S RESTAURANT",2016-11-21,"Cycle Inspection / Initial Inspection","2128681378",2017-10-19 06:00:49,27,"9 AVENUE","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","252",50038614,"Not Critical","American","HAYMAKER BAR & KITCHEN",2016-07-15,"Smoke-Free Air Act / Initial Inspection","6464298237",2017-10-19 06:00:49,NA,"W 29TH ST","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","311",41633807,"Critical","American","MANHATTAN CENTER",2016-10-07,"Cycle Inspection / Initial Inspection","2122797740",2017-10-19 06:00:49,7,"WEST   34 STREET","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10001,"A",2016-10-07
"Violations were cited in the following area(s).","MANHATTAN","8",50063170,"Critical","American","MADE NICE",2017-09-14,"Pre-permit (Operational) / Initial Inspection","2128811677",2017-10-19 06:00:49,49,"W 28TH ST","05H","No facilities available to wash, rinse and sanitize utensils and/or equipment.",10001,"Not Yet Graded",NA
"Violations were cited in the following area(s).","MANHATTAN","371",40386340,"Not Critical","American","NILES RESTAURANT",2014-09-09,"Cycle Inspection / Initial Inspection","2126290210",2017-10-19 06:00:49,19,"7 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","304",41392820,"Not Critical","Sandwiches","QUIZNO'S SUBS",2015-05-15,"Cycle Inspection / Initial Inspection","2127364400",2017-10-19 06:00:49,26,"WEST 34 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","494",50037346,"Not Critical","French","BY SUZETTE",2016-05-27,"Cycle Inspection / Initial Inspection","6467506217",2017-10-19 06:00:49,12,"8TH AVE","09A","Canned food product observed dented and not segregated from other consumable food items.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","488",41566307,"Not Critical","Pizza","FAMOUS FAMIGLIA PIZZERIA",2016-08-02,"Cycle Inspection / Re-inspection","2125644144",2017-10-19 06:00:49,20,"8 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"B",2016-08-02
"Violations were cited in the following area(s).","MANHATTAN","34",50048817,"Critical","Korean","BARN JOO 35",2017-07-19,"Cycle Inspection / Initial Inspection","2125644430",2017-10-19 06:00:49,24,"W 35TH ST","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","488",41566307,"Not Critical","Pizza","FAMOUS FAMIGLIA PIZZERIA",2017-10-16,"Cycle Inspection / Re-inspection","2125644144",2017-10-19 06:00:49,18,"8 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"Z",2017-10-16
"Violations were cited in the following area(s).","MANHATTAN","363",41447792,"Not Critical","American","FRESH & CO",2015-04-01,"Cycle Inspection / Initial Inspection","2123337374",2017-10-19 06:00:49,9,"7 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2015-04-01
"Violations were cited in the following area(s).","MANHATTAN","364",41387458,"Critical","American","THE FLYING PUCK",2015-05-13,"Cycle Inspection / Initial Inspection","2127365353",2017-10-19 06:00:49,12,"7 AVENUE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2015-05-13
"Violations were cited in the following area(s).","MANHATTAN","102",50008353,"Not Critical","French","WAFELS & DINGES",2014-10-18,"Cycle Inspection / Initial Inspection","2125162947",2017-10-19 06:00:49,12,"W 35TH ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","363",41447792,"Critical","American","FRESH & CO",2017-06-28,"Cycle Inspection / Initial Inspection","2123337374",2017-10-19 06:00:49,8,"7 AVENUE","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2017-06-28
"No violations were recorded at the time of this inspection.","MANHATTAN","240",41351354,"Not Applicable","Spanish","TXIKITO",2015-08-11,"Trans Fat / Re-inspection","2122424730",2017-10-19 06:00:49,NA,"9 AVENUE",NA,NA,10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","130",40663950,"Not Critical","American","FOOD FOR THOUGHT CATERED EVENTS",2015-05-05,"Cycle Inspection / Re-inspection","2129294689",2017-10-19 06:00:49,11,"WEST   25 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2015-05-05
"Violations were cited in the following area(s).","MANHATTAN","407",40959121,"Not Critical","Irish","TEMPEST BAR",2016-04-11,"Cycle Inspection / Re-inspection","2126431502",2017-10-19 06:00:49,12,"8 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2016-04-11
"Violations were cited in the following area(s).","MANHATTAN","402",40513609,"Critical","American","SKYLIGHT DINER",2015-05-12,"Cycle Inspection / Initial Inspection","2122440395",2017-10-19 06:00:49,17,"WEST   34 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"No violations were recorded at the time of this inspection.","MANHATTAN","321",50043941,"Not Critical","American","CORK & KALE AT EVEN HOTEL",2017-04-07,"Smoke-Free Air Act / Initial Inspection","2123560034",2017-10-19 06:00:49,NA,"W 35TH ST","15I","''''No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","11",50000138,"Critical","Korean","FOOD GALLERY 32",2015-04-29,"Cycle Inspection / Initial Inspection","2129671678",2017-10-19 06:00:49,34,"W 32ND ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","133",41098073,"Critical","American","STOUT",2015-04-13,"Cycle Inspection / Initial Inspection","2126296191",2017-10-19 06:00:49,17,"WEST   33 STREET","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","124",41023740,"Not Critical","American","JOHNY'S LUNCHEONETTE",2014-03-27,"Cycle Inspection / Initial Inspection","2122436230",2017-10-19 06:00:49,14,"WEST   25 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","2",50016080,"Critical","Korean","DDM YUPDDUK",2017-01-23,"Cycle Inspection / Re-inspection","2126438488",2017-10-19 06:00:49,12,"W 32ND ST","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,"A",2017-01-23
"Violations were cited in the following area(s).","MANHATTAN","289",41704644,"Critical","American","MARQUEE",2015-06-12,"Cycle Inspection / Re-inspection","6464730202",2017-10-19 06:00:49,12,"10 AVENUE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2015-06-12
"Establishment re-opened by DOHMH","MANHATTAN","433",50040401,"Not Critical","Delicatessen","FOOD FAIR DELI & PIZZA",2017-03-30,"Cycle Inspection / Reopening Inspection","2125632188",2017-10-19 06:00:49,4,"W 34TH ST","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"P",2017-03-30
"Violations were cited in the following area(s).","MANHATTAN","54",40597588,"Not Critical","Irish","O'REILLY'S PUB",2016-07-27,"Cycle Inspection / Initial Inspection","2126844244",2017-10-19 06:00:49,21,"WEST   31 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","235",50002256,"Not Critical","Asian","ASURA ASIAN BISTRO",2015-01-02,"Cycle Inspection / Initial Inspection","2126299888",2017-10-19 06:00:49,19,"WEST 35TH STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","960",50001807,"Critical","American","MONARCH",2014-08-27,"Cycle Inspection / Initial Inspection","2126309993",2017-10-19 06:00:49,20,"6TH AVE","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","494",40697311,"Not Critical","CafÃ©/Coffee/Tea","STARBUCKS",2017-04-17,"Cycle Inspection / Initial Inspection","2129473860",2017-10-19 06:00:49,3,"8 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-04-17
"Violations were cited in the following area(s).","MANHATTAN","102",50008353,"Critical","French","WAFELS & DINGES",2017-06-29,"Cycle Inspection / Re-inspection","2125162947",2017-10-19 06:00:49,12,"W 35TH ST","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2017-06-29
"Violations were cited in the following area(s).","MANHATTAN","220",40545546,"Critical","American","CAFE 31",2015-07-30,"Cycle Inspection / Initial Inspection","2126955966",2017-10-19 06:00:49,23,"WEST   31 STREET","04M","Live roaches present in facility's food and/or non-food areas.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","7",50049027,"Not Critical","Ice Cream, Gelato, Yogurt, Ices","PINKBERRY",2017-06-05,"Cycle Inspection / Re-inspection","2126959631",2017-10-19 06:00:49,12,"W 32ND ST","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-06-05
"Violations were cited in the following area(s).","MANHATTAN","53",50001312,"Critical","Japanese","MEW",2014-09-29,"Cycle Inspection / Initial Inspection","6463689384",2017-10-19 06:00:49,26,"W 35TH ST","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","365",41376950,"Critical","Asian","ALPHA FUSION",2016-06-14,"Cycle Inspection / Re-inspection","2122798887",2017-10-19 06:00:49,29,"WEST   34 STREET","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10001,"C",2016-06-14
"Violations were cited in the following area(s).","MANHATTAN","632",41311425,"Critical","American","DEAN & DELUCA NEW YORK",2014-12-26,"Cycle Inspection / Initial Inspection","2124308312",2017-10-19 06:00:49,22,"WEST   28 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","235",50002256,"Critical","Asian","ASURA ASIAN BISTRO",2016-01-19,"Cycle Inspection / Re-inspection","2126299888",2017-10-19 06:00:49,7,"WEST 35TH STREET","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2016-01-19
"Violations were cited in the following area(s).","MANHATTAN","9",50040296,"Not Critical","Korean","GAMMEEOK",2015-09-04,"Administrative Miscellaneous / Initial Inspection","2128681180",2017-10-19 06:00:49,NA,"W 32ND ST","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","293",41608024,"Critical","Japanese","KOBEYAKI",2015-09-28,"Cycle Inspection / Re-inspection","2122425500",2017-10-19 06:00:49,10,"7 AVENUE","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,"A",2015-09-28
"Violations were cited in the following area(s).","MANHATTAN","401",40929169,"Not Critical","American","HOTEL PENNSYLVANIA",2016-02-12,"Cycle Inspection / Initial Inspection","2127365000",2017-10-19 06:00:49,3,"7 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-02-12
"Violations were cited in the following area(s).","MANHATTAN","35",41267359,"Not Critical","Korean","MADANGSUI",2015-01-29,"Cycle Inspection / Initial Inspection","2125649333",2017-10-19 06:00:49,23,"WEST   35 STREET","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","159",41668452,"Not Critical","Pizza/Italian","SBARRO",2014-08-22,"Cycle Inspection / Re-inspection","2125641909",2017-10-19 06:00:49,9,"WEST   33 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2014-08-22
"Violations were cited in the following area(s).","MANHATTAN","138",41087782,"Critical","American","AROME CAFE 32",2015-08-03,"Cycle Inspection / Compliance Inspection","2122957870",2017-10-19 06:00:49,27,"WEST   32 STREET","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.","MANHATTAN","409",50044499,"Not Critical","Asian","PAD THAI",2017-02-13,"Cycle Inspection / Re-inspection","2122682752",2017-10-19 06:00:49,44,"8TH AVE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","601",41166914,"Not Critical","American","EAT ON 8TH",2015-02-09,"Cycle Inspection / Initial Inspection","2123528548",2017-10-19 06:00:49,22,"WEST 26 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","10",50009132,"Not Critical","American","DUNKIN' DONUTS",2014-05-22,"Pre-permit (Operational) / Initial Inspection","2122390173",2017-10-19 06:00:49,13,"W 33RD ST","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2014-05-22
"Violations were cited in the following area(s).","MANHATTAN","367",50002933,"Critical","Sandwiches","SUBWAY",2015-03-20,"Cycle Inspection / Initial Inspection","2125649191",2017-10-19 06:00:49,19,"W 34TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","218",50047392,"Critical","American","MY BELLY'S PLAYLIST",2017-09-22,"Cycle Inspection / Initial Inspection","9178321209",2017-10-19 06:00:49,27,"W 35TH ST","06G","HACCP plan not approved or approved HACCP plan not maintained on premises.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","55",40584086,"Not Critical","Korean","CHO DANG GOL",2015-07-21,"Administrative Miscellaneous / Initial Inspection","2126958222",2017-10-19 06:00:49,NA,"WEST   35 STREET","20E","Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","247",50005067,"Not Critical","American","AMERICAN WHISKEY",2017-06-14,"Cycle Inspection / Initial Inspection","2129671070",2017-10-19 06:00:49,4,"W 30TH ST","10H","Proper sanitization not provided for utensil ware washing operation.",10001,"A",2017-06-14
"Violations were cited in the following area(s).","MANHATTAN","370",50037969,"Critical","Asian","HOA CAFE",2017-08-28,"Cycle Inspection / Initial Inspection","2126431588",2017-10-19 06:00:49,53,"8TH AVE","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","0",41060816,"Not Critical","Sandwiches/Salads/Mixed Buffet","PRIMO CAPPUCCINO II",2016-04-26,"Cycle Inspection / Initial Inspection","2125631077",2017-10-19 06:00:49,5,"PENN STATION","10H","Proper sanitization not provided for utensil ware washing operation.",10001,"A",2016-04-26
"Violations were cited in the following area(s).","MANHATTAN","32",50016792,"Not Critical","Seafood","CAJUN SEA",2017-08-29,"Cycle Inspection / Initial Inspection","2125647333",2017-10-19 06:00:49,12,"W 33RD ST","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2017-08-29
"Violations were cited in the following area(s).","MANHATTAN","330",50009573,"Not Critical","Thai","SONG KRAN THAI",2016-03-24,"Cycle Inspection / Initial Inspection","2122398792",2017-10-19 06:00:49,28,"8TH AVE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","34",40659340,"Not Critical","Korean","SEOUL GARDEN",2015-03-30,"Cycle Inspection / Re-inspection","2127369002",2017-10-19 06:00:49,26,"WEST   32 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"B",2015-03-30
"Violations were cited in the following area(s).","MANHATTAN","325",50018989,"Critical","American","FAIRFIELD INN & SUITES PENN STATION",2017-06-28,"Cycle Inspection / Initial Inspection","2125630900",2017-10-19 06:00:49,24,"W 33RD ST","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","5",41718710,"Not Critical","Korean","BCD TOFU HOUSE",2017-10-05,"Cycle Inspection / Re-inspection","2129671900",2017-10-19 06:00:49,12,"WEST   32 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-10-05
"Violations were cited in the following area(s).","MANHATTAN","2",50007965,"Critical","Korean","MANDOO BAR",2015-08-25,"Cycle Inspection / Initial Inspection","2122793075",2017-10-19 06:00:49,32,"W 32ND ST","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","35",41267359,"Critical","Korean","MADANGSUI",2016-08-16,"Cycle Inspection / Initial Inspection","2125649333",2017-10-19 06:00:49,24,"WEST   35 STREET","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10001,NA,NA
